customer_id,first_name,last_name,phone,email,address,city,state,zipcode,system_type,system_brand,system_model,install_date,system_notes,last_service_date,membership_expire_date
66,Johnny,Bowers,(831) 540-1029,okim@example.com,15750 Daniel Glens,Vancouver,WA,80096,Furnace,Lennox,Z93751,2021-07-18,Open physical behavior return plant question turn public.,2021-08-21,2027-04-30
67,Elizabeth,Pope,(295) 743-4503,vwong@example.org,36631 Medina Fork,Vancouver,WA,41939,Mini Split,Carrier,X36648,2024-10-21,New beautiful huge be appear speech say.,2025-05-30,2027-04-30
68,Katie,Patterson,(388) 399-1891,imedina@example.org,43217 Corey Run,Camas,WA,01003,Mini Split,Lennox,X83392,2024-02-15,Fear dog short who economy.,2025-05-08,2026-09-23
69,Vanessa,Cooper,(421) 217-5950,henglish@example.com,39321 Cain Meadow,Longview,WA,88452,Heat Pump,Lennox,X47082,2024-08-23,Gun human black team cup.,2024-10-18,2026-03-04
70,Amanda,Henderson,(354) 631-2682,davisbrad@example.org,47033 Hampton Landing,Camas,WA,03409,Mini Split,Trane,Q64281,2023-04-22,Including business thus might read.,2024-07-30,2025-01-10
71,Lauren,Thompson,(344) 819-8950,hermanmiranda@example.net,15300 James Drive,Battle Ground,WA,63295,Heat Pump,Lennox,Q79229,2021-02-18,How history particular trip police own.,2021-12-06,2026-03-15
72,Alex,Owens,(535) 815-7774,daymargaret@example.org,53020 Alvarado Course,Ridgefield,WA,92630,Furnace,Trane,Q28801,2024-06-11,Water front business himself wish turn.,2025-06-04,2027-04-07
73,Tina,Cortez,(779) 287-6980,martinmaria@example.com,84700 Monica Port,Washougal,WA,29049,Furnace,Carrier,X33979,2024-08-24,Job war test return.,2025-01-22,2027-04-19
74,Brad,Price,(828) 601-4051,fhill@example.org,49593 West Groves,Kelso,WA,46003,Heat Pump,Rheem,Z56035,2022-03-30,Picture decision tonight speak model to.,2024-05-02,2026-11-24
75,Felicia,Bryant,(784) 664-9817,munozashley@example.com,62933 Barron Pass,Ridgefield,WA,45145,Furnace,Carrier,Q79066,2021-03-03,Fast pick huge visit.,2024-07-23,2027-03-01
76,Stacey,Dennis,(241) 567-3621,omarmorris@example.net,90918 Jackson Harbors,Kelso,WA,21552,Heat Pump,Trane,Z71299,2024-03-05,Itself worker human more off.,2024-04-03,2027-06-03
77,William,Watts,(202) 561-2525,christopherperry@example.org,21254 Lopez Village,Camas,WA,95344,Not Sure,Rheem,X76021,2024-02-01,Chair loss issue camera Mr.,2024-08-06,2026-05-12
78,Dennis,Fry,(942) 582-2624,russellanthony@example.net,59162 Kellie Gateway,Camas,WA,15550,Heat Pump,Trane,Z68940,2024-05-23,Lose back focus event.,2024-08-30,2026-11-12
79,Joseph,Butler,(245) 695-7437,crystalturner@example.net,64739 Alvarado Falls,Battle Ground,WA,06170,Mini Split,Trane,Z59696,2024-03-18,Hold prevent try may address.,2024-03-27,2026-05-16
80,James,Lopez,(268) 305-7476,andrewmurphy@example.org,12407 Harmon Port,Camas,WA,76653,Not Sure,Lennox,Z25362,2021-05-03,Appear ball feel especially learn government.,2024-08-08,2026-01-13
81,Brooke,Love,(389) 217-7847,kathrynbaldwin@example.org,54539 Kari Key,Battle Ground,WA,06579,AC,Rheem,X84743,2021-11-17,Every event reason.,2023-05-04,2025-11-16
82,Daniel,Li,(740) 283-5919,udrake@example.org,11153 Burke Turnpike,Kelso,WA,11854,Heat Pump,Carrier,X65136,2024-08-29,Individual imagine same opportunity strong range owner.,2024-12-26,2025-10-15
83,Justin,Yates,(434) 578-2340,spencebrandon@example.net,27703 Lisa Forges,Battle Ground,WA,04078,Mini Split,Trane,X31717,2021-06-22,Middle population position.,2025-06-14,2026-11-30
84,Ashley,Weber,(348) 952-9765,timothyhanson@example.org,9264 Michael Ville,Woodland,WA,20639,Furnace,Carrier,Z30476,2022-11-16,Natural some then purpose just time.,2024-07-26,2027-03-24
85,Emma,Jordan,(810) 846-3870,karen81@example.org,82265 Angela Parks,Camas,WA,35664,Mini Split,Carrier,X38329,2024-04-19,Design sing southern decade.,2024-08-26,2027-01-14
86,Mary,Harris,(872) 843-5380,clarkmelanie@example.com,1030 Kaitlyn River,Ridgefield,WA,84141,Mini Split,Rheem,X44663,2024-12-10,Coach force note.,2025-05-31,2026-08-22
87,Austin,Hughes,(517) 560-7735,jenniferjohnson@example.net,55184 Lambert Harbors,Battle Ground,WA,39811,Mini Split,Trane,Q29215,2022-08-01,Option heart anyone by room.,2022-10-22,2026-02-03
88,Stephanie,Silva,(557) 869-4092,catherinejoseph@example.net,61147 Ramsey Loop,Camas,WA,77821,Not Sure,Rheem,X53305,2022-05-13,Must enough unit call get ground behavior.,2024-09-25,2026-03-17
89,Tina,Miller,(675) 703-2644,fieldsderrick@example.net,82297 Valdez Green,Camas,WA,33903,Furnace,Rheem,Z65940,2021-10-08,Lay star game fast himself.,2022-07-28,2025-09-25
90,Lindsey,Solis,(975) 750-1235,alexander65@example.net,9256 Evelyn Drive,Battle Ground,WA,42271,Not Sure,Lennox,X83595,2022-10-06,Building require executive sign she rest parent.,2023-04-13,2025-07-25
91,Joshua,Brown,(327) 625-7587,christopher43@example.org,22577 Sandra Hills,Kelso,WA,11363,Mini Split,Lennox,Q43090,2025-03-25,Camera season your tough traditional.,2025-05-19,2025-10-12
92,Mark,Carey,(827) 696-8835,johnsonmelanie@example.net,99507 Moreno Canyon,Longview,WA,64282,Furnace,Trane,X59090,2024-04-26,Design now east western help song.,2025-06-11,2025-05-27
93,Jeffrey,Fitzgerald,(525) 453-1192,roconnor@example.org,55645 Best Mount,Ridgefield,WA,54271,AC,Trane,X59794,2025-04-26,Always loss mean cell.,2025-05-21,2025-10-12
94,Melissa,Green,(531) 817-3530,mwu@example.net,82989 Riggs Extensions,Longview,WA,74756,Furnace,Carrier,Q56986,2023-08-14,Bill half military include reality film.,2024-08-30,2026-03-02
95,Victoria,Evans,(225) 284-9587,westadrienne@example.org,49629 Hopkins Harbors,Ridgefield,WA,01893,Furnace,Carrier,Q65127,2022-02-11,Wait wear population from word.,2022-11-23,2027-04-06
96,Michael,Williams,(468) 498-7297,martinjoseph@example.com,46596 Jones Valleys,Camas,WA,46889,Mini Split,Carrier,Z69406,2022-10-30,Drive foreign office board not away better.,2022-11-28,2027-04-22
97,Marcus,Carney,(904) 966-9202,alexandriahall@example.net,52227 Wilson Walks,Washougal,WA,58075,Not Sure,Carrier,Q43166,2022-10-21,Listen build however two assume myself.,2022-12-13,2025-07-05
98,Scott,Wu,(762) 205-7315,ymendez@example.com,75157 Connie Via,Longview,WA,26797,Mini Split,Rheem,Q63066,2021-03-14,Parent media draw give ball which change.,2023-11-23,2027-04-12
99,Sherri,Love,(510) 245-5313,justinphillips@example.org,44570 Beck Roads,Vancouver,WA,37274,Mini Split,Trane,Z72690,2024-05-25,Story customer common interview daughter.,2024-06-25,2026-10-05
100,Nancy,Medina,(267) 825-5708,christopherbrooks@example.org,7198 Gordon Station,Woodland,WA,44100,Mini Split,Carrier,Q97710,2020-10-20,Today onto thought computer building campaign.,2023-05-26,2026-02-23
